medical_key,num_health_workers,gov_spending,births_supervised,contraceptive_prevalance,risk_of_maternal_death,adolescent_fertility_rate,risk_of_high_expenditure_surgical_care
123,,32.85,,,0.0047296,0.852192,0.659
124,,34.57,0.498,0.628,0.004299534,0.840906,0.643
125,,37.41,0.678,,0.003930688,0.82962,0.659
126,,41.9,0.527,0.619,,0.823128,0.605
127,,45.86,,0.627,,0.816636,0.566
128,,,,,,,0.553
129,,6.65,0.057,0.147,0.048763442,0.943934,
130,,8.66,,,0.044129724,0.905082,
131,0.218,11.98,,,0.039987898,0.86623,
132,0.296,13.45,,,0.036690777,0.84894,
133,0.363,15.64,,,0.033815667,0.83165,
134,,16.71,,,0.031107973,0.81436,
135,,15.11,0.1,0.286,0.028567217,0.79707,
136,,20.66,,,0.026399175,0.77978,
137,,19.88,0.231,,0.024437589,0.757278,
138,,22.27,0.155,0.42,0.022639847,0.734776,
139,,23.92,,0.37,0.020969113,0.712274,
140,,25.08,0.277,0.359,0.019483031,0.689772,
141,,24.92,,0.366,0.018141746,0.66727,
142,,24.29,,0.401,,0.650748,
143,,26.74,,0.414,,0.634226,
144,,,,,,,
